id,datasetcycle_id,is_download,status,last_synced_at,source_file_version,source_file_size,chk_raw,chk_normalization,system_version,time_download,time_raw,time_normalization,records_raw,records_normalization,n_samples,n_variables,cycle,dataset
187,187,False,standby,2024-08-16 12:25:53.112845+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2011-2012,DSQTOT
188,188,False,standby,2024-08-16 12:25:53.116004+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2013-2014,DSQTOT
189,189,False,standby,2024-08-16 12:25:53.119417+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2015-2016,DSQTOT
190,190,False,standby,2024-08-16 12:25:53.122430+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2017-2018,DSQTOT
191,191,False,standby,2024-08-16 12:25:53.125676+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,1999-2000,AUX
192,192,False,standby,2024-08-16 12:25:53.128967+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2001-2002,AUX
193,193,False,standby,2024-08-16 12:25:53.131943+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2003-2004,AUX
194,194,False,standby,2024-08-16 12:25:53.135281+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2005-2006,AUX
195,195,False,standby,2024-08-16 12:25:53.138262+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2007-2008,AUX
196,196,False,standby,2024-08-16 12:25:53.141215+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2009-2010,AUX
